sample_id,pop,origin,data type,,,,,
sm_162_S26,EG,Lab,gDNA,,,,Sm_BR_PdV_2133_1.hc.vcf.gz,Brazil
sm_173_S36,EG,Lab,WGA,,,,Sm_BR_PdV_2147_1.hc.vcf.gz,Brazil
sm_175_S9,EG,Lab,gDNA,,,,Sm_BR_PdV_2189_1.hc.vcf.gz,Brazil
sm_176_S15,EG,Lab,WGA,,,,Sm_BR_PdV_2196_2.hc.vcf.gz,Brazil
sm_177_S84,EG,Lab,gDNA,,,,Sm_BR_PdV_2225_1.hc.vcf.gz,Brazil
sm_18_S29,OR,Lab,gDNA,,,,Sm_BR_PdV_2227_1.hc.vcf.gz,Brazil
sm_19_S18,OR,Lab,WGA,,,,Sm_BR_PdV_2265_1.hc.vcf.gz,Brazil
sm_20_S80,OR,Lab,gDNA,,,,Sm_BR_PdV_2290_1.hc.vcf.gz,Brazil
sm_21_S7,OR,Lab,WGA,,,,Sm_BR_PdV_2300_1.hc.vcf.gz,Brazil
sm_22_S83,OR,Lab,WGA,,,,Sm_BR_PdV_2334_1.hc.vcf.gz,Brazil
sm_23_S22,OR,Lab,gDNA,,,,Sm_BR_PdV_2406_1.hc.vcf.gz,Brazil
sm_3_S24,OR,Lab,gDNA,,,,Sm_BR_PdV_2406_1_rep.hc.vcf.gz,Brazil
sm_36_S87,BRE,Lab,gDNA,,,,Sm_BR_PdV_2422_1.hc.vcf.gz,Brazil
sm_4_S12,OR,Lab,WGA,,,,Sm_BR_PdV_2450_1.hc.vcf.gz,Brazil
sm_46_S4,BRE,Lab,WGA,,,,Sm_BR_PdV_2456_1.hc.vcf.gz,Brazil
sm_47_S11,BRE,Lab,WGA,,,,Sm_BR_PdV_2489_1.hc.vcf.gz,Brazil
sm_49,BRE,Lab,gDNA,,,,Sm_BR_PdV_2508_1.hc.vcf.gz,Brazil
sm_5,OR,Lab,gDNA,,,,Sm_BR_PdV_2530_1.hc.vcf.gz,Brazil
sm_53_S82,BRE,Lab,gDNA,,,,Sm_BR_PdV_2538_1.hc.vcf.gz,Brazil
sm_54_S21,BRE,Lab,gDNA,,,,Sm_BR_PdV_2546_1.hc.vcf.gz,Brazil
sm_57_S8,BRE,Lab,gDNA,,,,Sm_BR_PdV_2556_1.hc.vcf.gz,Brazil
sm_62_S25,BRE,Lab,gDNA,,,,Sm_BR_PdV_2577_1.hc.vcf.gz,Brazil
sm_64_S14,BRE,Lab,gDNA,,,,Sm_BR_PdV_4293_2.hc.vcf.gz,Brazil
sm_67_S3,BRE,Lab,gDNA,,,,Sm_NE_Di158_1.hc.vcf.gz,Niger
sm_69_S28,BRE,Lab,WGA,,,,Sm_NE_Di238_1.hc.vcf.gz,Niger
sm_73_S71,BRE,Lab,gDNA,,,,Sm_NE_Di297_1.hc.vcf.gz,Niger
