sample_id,pop,origin,data type,,,,,
Sm_TZ_134_4_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_134_5_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_134_6_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_1_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_10_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_2_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_3_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_4_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_5_3.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_6_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_7_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_8_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_141_9_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sro_ERR114786.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_ERR310938.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_ERR7978134.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_ERR7978135.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_ERR7978144.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_female_1.1.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_female_1.2.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_female_2.1.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_female_2.2.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_male_1.1.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_male_1.2.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_male_2.1.hc.vcf.gz,Outgroup,Outgroup,,,,,,
Sro_male_2.2.hc.vcf.gz,Outgroup,Outgroup,,,,,,
